route_id,speed_peak_total_effect_pct,speed_overall_total_effect_pct,journeyperformance_overall_total_effect_pct,journeyperformance_off_peak_total_effect_pct,journeyperformance_peak_total_effect_pct,speed_offpeak_total_effect_pct
BX38,0.0233655785836672,-0.4446269754224907,-4.863048630198453,-5.120337972499367,-5.025389517611545,-0.6723795063924176
BX41+,1.3007904568131057,-0.6146481520362568,53.75839946389429,54.35418163061918,52.96230465042231,-1.3796164525827217
BX5,0.3325530436769863,1.1417602882037414,-0.2318758450772673,1.2357395782769176,-0.9243258563239488,1.4746822337007304
BX6+,1.3145974910344416,1.4301873450420777,5.036596453960085,4.9847012265198165,4.362791269900379,1.3598368529057714
BX7,-0.1513353132545081,0.3337379613266078,-2.4879185669046238,-0.0978066442341218,-4.694711582229116,0.4488381890550563
BX9,-0.7975491398346413,-0.1836924324959299,-1.3540894326820374,-0.4525341385667736,-1.9188451482213376,0.135921132759198
M100,0.3012003925503936,-0.3369414002690529,2.065695576425175,2.6657526753745886,1.6474137163938307,-0.7248897281089683
M101,0.9757954068612352,-0.1818546536793031,3.2975910771716244,4.459350628335157,1.5080746615353302,-0.1684041095985744
M116,-0.6356428590342134,0.3182659010387834,1.1725730712398352,2.3359314102189943,-0.413802467536406,0.6042074202270431
M15+,0.5183861466076634,0.0371317848676611,11.198621728940283,12.953057065850636,7.222290920365149,-0.0905827866580555
M2,-0.2303963701111855,-0.8883308179399196,-1.1054110941414177,-0.588905966363451,-1.7325174434817736,-1.0221762017809222
M23+,17.891324411640873,18.21308790117537,27.841405557734557,28.942775702158063,25.42953704533304,24.98853029917769
M34+,41.718201950209696,36.178320903866215,21.5168114979015,22.674856849778838,25.77602957680292,35.556918297115494
M4,1.6418297479247943,1.3044748638002313,0.0176400605259807,0.3151125724616621,-0.6989271571510969,1.2412607993954383
M42,1.7706233527270632,1.856566734549392,6.447520365749115,9.103274306730524,5.19750183250236,2.043582551153844
M57,-0.4682226166630832,-0.7611325426640669,0.7298189787296128,1.208771197357672,0.066013081392624,-0.7504162385571944
M60+,-0.6145996098130047,-0.2963895521051363,7.549428179007278,6.6899977139506905,8.55938407340946,-0.2879055951946263
M79+,1.9867020079040063,1.8263760561131992,-1.022691452363533,-1.9082160792227356,-0.5528758212430818,1.3857336612285387
M86+,21.8657003757021,14.650516080721433,18.535622821662344,15.895656675982917,20.727655943941325,11.68035950826656
M96,1.0687132533520494,0.6171520079306436,1.1096953765564963,1.0320246075956607,1.3522550583125126,0.4337392509569104
Q43,-1.8569098141677176,-3.073918251681229,-13.843630424316569,-15.815285626133624,-12.31300511159712,-4.197578131462521
Q44+,2.503431495353281,3.4529773829965027,5.2453907272882905,4.7431822797316725,2.554713048383328,3.3202064490183814
Q5,1.2686474732323871,1.246648364647096,7.87229926159827,9.18327504803267,6.601572588859095,1.2450035806947255
Q53+,0.3484513012282919,0.3704495251057427,-0.6875581018761956,-0.8408464152665385,-0.2732186758771182,0.404451153967611
Q54,-5.295003970822276,-5.213284203545799,-7.237082903753212,-12.217133516442724,-5.353384547068529,-5.233105920755687
Q58,-2.3656093589531246,-1.445623496645665,-4.195988988624366,-4.340409152297397,-4.310901696500958,-1.427480170338813
Q6,6.515348518837438,6.987393008122678,16.34663765660345,13.308600992458077,18.024423679800396,7.63369893290422
Q69,2.3008940646385367,2.37110763609214,1.6635582470811094,1.3515720710621792,0.2823262880499388,2.311171631630637
S46,1.2105123250288008,0.1644036527277625,1.9501098380007464,5.253346889700028,-0.54377305177844,-0.5332137781953517
S79+,0.9202029639741705,0.9258276503956164,-9.552904919642192,-10.193368081047993,-6.652712833983565,0.8206495148621373
